"filename", "language", "JavaScript", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\EndRide\PassengerList.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\EndRide\RideInfoSheet.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 5, 63
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\EndRide\RouteList.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 5, 81
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Entry\EntryButton.tsx", "TypeScript JSX", 0, 0, 79, 0, 0, 0, 0, 4, 83
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Entry\EntryInputField.tsx", "TypeScript JSX", 0, 0, 120, 0, 0, 0, 0, 5, 125
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\HistoryRideDetail\RateRideButton.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\HistoryRideDetail\RateRideDialog.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 9, 148
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\HistoryRideDetail\RiderDetail.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\HistoryRideDetail\RiderInfo.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\HistoryRideDetail\VehicleInfo.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\DateTimePickerSheet.js", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 5, 224
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\Header.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 6, 89
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\MapComponent.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\NoOfSeatSheet.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 5, 72
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\RideInfoCard.js", "JavaScript", 301, 0, 0, 0, 0, 0, 0, 7, 308
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\LoadingIndicator.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Message\MessageHeader.js", "JavaScript", 55, 0, 0, 0, 0, 0, 1, 5, 61
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Message\MessageInput.js", "JavaScript", 58, 0, 0, 0, 0, 0, 1, 6, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Message\MessageItem.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 10, 106
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Message\MessageList.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\CarInfo.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 6, 66
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\CarSelectionSheet.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 4, 63
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\ContinueButton.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\FacilityInfo.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\LocationInfo.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 5, 112
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\PriceInfo.js", "JavaScript", 42, 0, 0, 0, 0, 0, 1, 4, 47
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\SeatInfo.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\SeatSelectionSheet.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PaymentMethods\PaymentMethodItem.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PaymentMethods\PaymentMethodList.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\LocationFooter.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\LocationSearchHeader.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 4, 131
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\PickLocationMap.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\Divider.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\LogoutDialog.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 4, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\ProfileInputField.tsx", "TypeScript JSX", 0, 0, 129, 0, 0, 0, 0, 16, 145
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\ProfileOption.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\ProfilePicture.js", "JavaScript", 106, 0, 0, 0, 0, 0, 1, 7, 114
